NAMA UNIT,LONGITUDE,LATITUDE,Gamma Dose Rate (nSv/h),LAST UPDATE (WIB)
CTBT Jayapura,140.703889,-2.514485,Out of service,
St.Mteo.Kls.III Tanjung Pinang,104.528402,0.922974,53.1,2026-08-07 10:00
St.Mteo.Kls.I Gorontalo,122.85245,0.638403,29.9,2026-08-07 10:00
St.Mteo.Kls.III Tapanuli Tengah,98.897326,1.553217,19.6,2026-08-07 10:00
St.Mteo.Kls.III Tana Toraja,119.912333,-3.189236,37.9,2026-08-07 10:00
St.Mteo.Kls.III Sintang,111.459424,-0.043007,27.3,2026-08-07 10:00
St.Mteo.Kls.III Bengkulu,102.336618,-3.858194,34.7,2026-08-07 10:00
St.Mteo.Kls.III Cilacap,109.015062,-7.71865,30.5,2026-08-07 10:00
St.Mteo.Kls I Pekanbaru,101.447262,0.45922,37.5,2026-08-07 10:00
St.Geof.Kls.III Banjarnegara,109.709794,-7.333222,25.2,2026-08-07 10:00
St.Mteo.Kls.I.Supadio.Pontianak,109.4,0.15,47.88,2026-08-07 10:00
St.Mteo.Kls.I.Supadio.Pontianak,109.403009,-0.141549,47.2934011952475,2026-08-07 13:00:00
